imp,perf,eng
"бегать, бежать",побежать,"to run, hurry"
"бегать, бежать",побежать,"to run, hurry"
бить,побить,"to beat, hit"
болеть,заболеть,to be ill; be a fan of
бороться,побороться,"to struggle, fight"
бояться,забояться,"to be afraid, fear"
брать,взять,to take; rent
браться,взяться,"to set about, undertake"
бросать,бросить,to throw
бросаться,броситься,"to throw oneself, rush"
валить,свалить,"to fell, dump"
валять,свалять,"to roll, shape"
варить,сварить,"to boil, cook"
"возить, везти",повезти,"to drive, carry by vehicle"
велеть,повелеть,to order (someone)
верить,поверить,to believe
возвращать,вернуть,"to return, give back"
возвращаться,вернуться,to return (yourself)
"водить, вести",повести,to lead (walking)
волноваться,взволноваться,"to worry, get upset"
взглянуть,взглядывать,"to look, glance"
взглянуть,взглядывать,"to look, glance"
вздыхать,вздохнуть,"to take breath, to sigh"
брать,взять,to take; rent
браться,взяться,"to set about, undertake"
вздыхать,вздохнуть,"to take breath, to sigh"
видеть,увидеть,to see
висеть,повисеть,to hang
включать,включить,to include; to switch on
включать,включить,to include; to switch on
"водить, вести",повести,to lead (walking)
воевать,повоевать,to fight (in war)
возвращаться,возвратиться,to return
возвращать,вернуть,"to return, give back"
возвращаться,возвратиться,to return (oneself)
"возить, везти",повезти,"to drive, carry by vehicle"
"возить, везти",повезти,"to drive, carry by vehicle"
возникать,возникнуть,"to emerge, appear"
возникать,возникнуть,"to emerge, appear"
возражать,возразить,"to object, disagree"
возражать,возразить,"to object, disagree"
входить,войти,"to enter, come in"
волноваться,взволноваться,"to worry, get upset"
восклицать,воскликнуть,"to exclaim, cry"
восклицать,воскликнуть,"to exclaim, cry"
врать,соврать,"to lie, tell lies"
вскакивать,вскочить,"to jump, jump up"
вскакивать,вскочить,"to jump, jump up"
вспоминать,вспомнить,"to remember, recall"
вспоминать,вспомнить,"to remember, recall"
вставать,встать,"to get up, rise, stand up"
вставать,встать,"to get up, rise, stand up"
встречать,встретить,to meet
встречаться,встретиться,"to meet, be found, occur"
встречать,встретить,to meet
встречаться,встретиться,"to meet, be found, occur"
входить,войти,"to enter, come in"
выбирать,выбрать,"to choose, select"
выбирать,выбрать,"to choose, select"
выводить,вывести,"to take out, lead out"
выводить,вывести,"to take out, lead out"
выдавать,выдать,"to hand, distribute"
выдавать,выдать,"to hand, distribute"
выдерживать,выдержать,"to bear, stand, endure"
выдерживать,выдержать,"to bear, stand, endure"
вызывать,вызвать,"to call, send"
вызывать,вызвать,"to call, send"
выходить,выйти,to go out; nurse
вынимать,вынуть,"to take out, extract"
вынимать,вынуть,"to take out, extract"
выпивать,выпить,to get drunk
выпивать,выпить,to drink
пить,выпить,to drink
выполнять,выполнить,"to carry out, execute"
выполнять,выполнить,"to carry out, execute"
выпускать,выпустить,"to let out, discharge"
выпускать,выпустить,"to let out, discharge"
вырастать,вырасти,to grow up
вырастать,вырасти,to grow up
выскакивать,выскочить,"to jump out, pop out"
выскакивать,выскочить,"to jump out, pop out"
выступать,выступить,"to come forward, appear"
выступать,выступить,"to come forward, appear"
вытаскивать,вытащить,"to take out, extract"
вытаскивать,вытащить,"to take out, extract"
тянуть,вытянуть,"to stretch, extend"
выходить,выйти,to go out
глядеть,глянуть,"to look at, glance"
глядеть,глянуть,"to look at, glance"
говорить,сказать,"to say, speak, tell"
гореть,сгореть,to burn
готовить,приготовить,"to prepare, cook"
гулять,погулять,to take a walk
давать,дать,"to give; let, allow"
дарить,подарить,to give (a present)
давать,дать,"to give; let, allow"
двигать,двинуть,to move
двигать,двинуть,to move
действовать,подействовать,to act
делать,сделать,"to do, make"
делаться,сделаться,"to become, happen"
добавлять,добавить,to add
добавлять,добавить,to add
добираться,добраться,"to get to, reach"
добираться,добраться,"to get to, reach"
догадываться,догадаться,to guess
догадываться,догадаться,to guess
дожидаться,дождаться,to wait until
дожидаться,дождаться,to wait until
доходить,дойти,"to reach, get as far as"
доставать,достать,to prove
доказывать,доказать,to prove
доставать,достать,"to get, obtain"
доходить,дойти,"to reach, arrive"
доходить,дойти,"to reach, arrive"
"ездить, ехать",поехать,"to ride, drive"
есть,съесть,to eat
"ездить, ехать",поехать,"to ride, drive"
жалеть,пожалеть,"to feel sorry, ptty"
жалить,ужалить,to sting
жаловать,пожаловать,"to grant, bestow"
ждать,подождать,to wait
желать,пожелать,to wish
жениться,пожениться,to marry
забирать,забрать,pick up
болеть,заболеть,to get ill; become a fan
забирать,забрать,pick up
забывать,забыть,to forget
забывать,забыть,to forget
заводить,завести,"to bring, wind up"
заводить,завести,"to bring by, wind up"
заглядывать,заглянуть,"to peep in, glance"
заглядывать,заглянуть,"to peep in, glance"
заговаривать,заговорить,"to begin to speak,"
заговаривать,заговорить,"to begin to speak,"
задумываться,задуматься,to ponder
задумываться,задуматься,to ponder
заинтересовывать,заинтересовать,to capture interest
заинтересовывать,заинтересовать,to capture interest
заходить,зайти,"to drop in or by, visit"
заканчивать,закончить,"to end, finish, complete"
заканчивать,закончить,"to end, finish, complete"
кричать,закричать,"to shout, cry out"
закрывать,закрыть,"to close, cover up"
закрывать,закрыть,"to close, cover up"
закуривать,закурить,to light up (a cigaret)
закуривать,закурить,to light up (a cigaret)
замирать,замереть,"to stand still, stop"
замечать,заметить,"to notice, take a note"
замечать,заметить,"to notice, take notes"
замирать,замереть,"to stand still, stop"
замолчать,замалчивать,"to shut up, be silent"
замолчать,замалчивать,"to shut up, be silent"
занимать,занять,to borrow; occupy; secure
заниматься,заняться,"to be occupied, engage"
занимать,занять,to borrow; occupy
заниматься,заняться,"to be occupied, engaged"
орать,заорать,"to shout, scream, yell"
записывать,записать,"to note down, record"
записывать,записать,"to note down, record"
платить,заплатить,to pay
запоминать,запомнить,"to memorize, remember"
запоминать,запомнить,"to memorize, remember"
засмеивать,засмеять,to start laughing
засмеивать,засмеять,to start laughing
сомневаться,засомневаться,"to doubt, hesitate"
заставлять,заставить,"to force, compel, make"
заставлять,заставить,"to force, compel, make"
захватывать,захватить,"to grab, seize, capture"
захватывать,захватить,"to grab, seize, capture"
заходить,зайти,"to drop in or by, visit"
хотеть,захотеть,"to want, like"
заявлять,заявить,"to declare, announce"
заявлять,заявить,"to declare, announce"
звать,позвать,to call
звонить,позвонить,to call by telephone
звучать,прозвучать,"to sound, ring"
знакомиться,познакомиться,"to meet, get acquaintanted"
играть,cыграть,to play
"ходить, идти",пойти,"to go, come"
извинять,извинить,"to excuse, pardon"
извинять,извинить,"to excuse, pardon"
изменять,изменить,"to change, to"
изменяться,измениться,to become changed
изменять,изменить,"to change, to"
изменяться,измениться,to become changed
искать,сыскать,"to search, look for"
пользовать,использовать,"to use, take advantage"
пользоваться,использоваться,"to use, be used"
пугаться,испугаться,"to be frightened, startled"
испытывать,испытать,"to try, test"
испытывать,испытать,"to try, test"
исчезать,исчезнуть,to disappear
исчезать,исчезнуть,to disappear
казаться,показаться,"to seem, appear"
касаться,коснуться,"to touch (on), concern"
катить,покатить,to roll
кивать,кивнуть,to nod
кивать,кивнуть,to nod
класть,положить,"to lay down, place"
колоть,уколоть,to prick
кончать,кончить,to end
кончать,кончить,to end
касаться,коснуться,"to touch (on), concern"
косить,скосить,to mow
костить,скостить,"to abuse, reprimand angrily"
кричать,крикнуть,"to cry, shout"
кричать,крикнуть,"to cry, shout"
купать,купить,"to buy, purchase"
купать,купить,"to buy, purchase"
"лазить, лезть",полезть,"to climb, go up"
"лазить, лезть",полезть,"to climb, go up"
"летать, лететь",полететь,to fly
"летять, лететь",полететь,to fly
ложиться,лечь,to lie down
ловить,поймать,to catch
ложиться,лечь,to lie down
махать,махнуть,"to wave, flap, flutter"
махать,махнуть,"to wave, flap, flutter"
менять,поменять,"to change, exchange"
мешать,помешать,"to interfere, prevent; mix"
мочь,смочь,to be able
надоедать,надоесть,"to bore, bother, pester"
надоедать,надоесть,"to bore, bother, pester"
называть,назвать,"to call, name"
называться,назваться,to call oneself
назначать,назначить,"to assign, allot, fix"
назначать,назначить,"to assign, allot, fix"
называть,назвать,"to call, name"
называться,назваться,to call oneself
находить,найти,"to find, discover"
находиться,найтись,"to be found, located"
писать,написать,to write
напоминать,напомнить,"to remind, resemble"
напоминать,напомнить,"to remind, resemble"
направлять,направить,"to direct, aim, send"
направляться,направиться,to head towards
направлять,направить,"to direct, aim, send"
направляться,направиться,to head towards
следить,наследить,"to watch, spy, follow"
наступать,наступить,"step on, attack"
наступать,наступить,"step on, attack"
учить,научить,to teach
учиться,научиться,"to study, learn"
находить,найти,"to find, discover"
находиться,найтись,"to be found, located"
начинать,начать,to begin (something)
начинаться,начаться,to begin
начинать,начать,to begin (something)
начинаться,начаться,to begin
"носить, нести",понести,to carry
"носить, нести",понести,"to carry, wear"
нравиться,понравиться,to please
оборачиваться,обернуться,"to turn out, result in"
обещать,пообещать,to promise
обнаруживать,обнаружить,"to reveal, discover"
обнаруживать,обнаружить,"to reveal, discover"
обходиться,обойтись,"to cost, manage"
оборачиваться,обернуться,"to turn out, result in"
радоваться,обрадоваться,"to be glad, happy"
обращать,обратить,to turn to
обращаться,обратиться,"to appeal, address"
обращать,обратить,to turn to
обращаться,обратиться,"to appeal, address"
обходиться,обойтись,"to cost, manage"
объявлять,объявить,"to declare, announce"
объявлять,объявить,"to declare, announce"
объяснять,объяснить,to explain
объяснять,объяснить,to explain
оглядываться,оглянуться,to look around
оглядываться,оглянуться,to look around
оказываться,оказаться,"find oneself, turn up"
оказываться,оказаться,"find oneself, turn up"
определять,определить,"to define, determine"
определять,определить,"to define, determine"
опускать,опустить,"put down, omit"
опускать,опустить,"put down, omit"
орать,заорать,"to shout, scream"
оставаться,остаться,"to remain, stay"
оставлять,оставить,"to leave, abandon"
оставлять,оставить,"to leave, abandon"
останавливать,остановить,to stop
останавливаться,остановиться,to stop (oneself)
останавливать,остановить,to stop
останавливаться,остановиться,to stop (oneself)
оставаться,остаться,"to remain, stay"
отвечать,ответить,"to answer, reply"
отвечать,ответить,"to answer, reply"
отдавать,отдать,to give back
отдавать,отдать,to give back
отказываться,отказаться,"to decline, reject"
отказываться,отказаться,"to decline, reject"
открывать,открыть,to open
открываться,открыться,"to open, come to light"
открывать,открыть,to open
открываться,открыться,"to open, come to light"
отличать,отличить,to distinguish
отличать,отличить,to distinguish
отмечать,отметить,"to mark, note"
отмечать,отметить,"to mark, note"
относиться,отнестись,"to treat, relate (to)"
относиться,отнестись,"to treat, regard (to)"
отходить,отойти,"go away (from), leave"
отправлять,отправить,to send off
отправляться,отправиться,"to set off, depart"
отправлять,отправить,to send off
отправляться,отправиться,"to set off, depart"
отпускать,отпустить,"to let go, release"
отпускать,отпустить,"to let go, release"
отходить,отойти,"go away (from), leave"
ощущать,ощутить,"to feel, sense"
ощущать,ощутить,"to feel, sense"
падать,упасть,to fall
пахать,пахнуть,to smell (of)
пахать,пахнуть,to smell (of)
переводить,перевести,"to transfer, translate"
переводить,перевести,"to transfer, translate"
передавать,передать,"to pass on, transmit"
передавать,передать,"to pass on, transmit"
переходить,перейти,to cross over
переставать,перестать,"to stop, cease"
переставать,перестать,"to stop, cease"
переходить,перейти,to cross over
петь,спеть,to sing
писать,написать,to write
пить,выпить,to drink
"плавать, плыть",поплыть,"to swim, float, sail"
плакать,поплакать,to cry
платить,заплатить,to pay
"плавать, плыть",поплыть,"to swim, float, sail"
"бегать, бежать",побежать,"to run, hurry"
валить,повалить,"to fell, dump"
"возить, везти",повезти,"to drive, carry by vehicle"
велеть,повелеть,to order (someone)
верить,поверить,to believe
поворачивать,повернуть,to turn (something)
поворачиваться,повернуться,to turn (oneself)
"водить, вести",повести,to lead (walking)
висеть,повисеть,to hang
воевать,повоевать,to fight (in war)
поворачивать,повернуть,to turn (something)
поворачиваться,повернуться,to turn (oneself)
повторять,повторить,to repeat
повторять,повторить,to repeat
погибать,погибнуть,"to perish, be killed"
погибать,погибнуть,"to perish, be killed"
глядеть,поглядеть,"to look, gaze"
гулять,погулять,to take a walk
подавать,подать,"to give, serve"
дарить,подарить,to give (a present)
подавать,подать,"to give, serve"
действовать,подействовать,to act
поднимать,поднять,"to lift, raise"
подниматься,подняться,"to rise, climb"
поднимать,поднять,"to lift, raise"
подниматься,подняться,"to rise, climb"
ждать,подождать,to wait
подходить,подойти,"to approach, come up to"
подтверждать,подтвердить,to confirm
подтверждать,подтвердить,to confirm
подходить,подойти,"to approach, come up to"
"ездить, ехать",поехать,"to ride, drive"
жалеть,пожалеть,"to feel sorry, pity"
жаловать,пожаловать,"to grant, bestow"
пожимать,пожать,"to press, to reap"
желать,пожелать,to wish
жениться,пожениться,to marry
пожимать,пожать,"to press, to reap"
звать,позвать,to call
позволять,позволить,"to allow, permit"
позволять,позволить,"to allow, permit"
звонить,позвонить,to call by telephone
знакомиться,познакомиться,"to meet, get acquainted"
поиграть,поигрывать,to play a little
"ходить, идти",пойти,"to go, come"
показывать,показать,"to show, display"
казаться,показаться,"to seem, appear"
показываться,показаться,to appear
показывать,показать,"to show, display"
показываться,показаться,to appear
катить,покатить,"to drive, roll"
покрывать,покрыть,to cover
покрывать,покрыть,to cover
покупать,купить,"to buy, purchase"
полагать,положить,"to suppose, think"
"лазить, лезть",полезть,"to climb, go up"
"летять, лететь",полететь,to fly
класть,положить,"to lay down, place"
полагать,положить,"to suppose, think"
получать,получить,"to receve, get"
получаться,получиться,to turn out
получать,получить,"to receve, get"
получаться,получиться,to turn out
пользовать,использовать,"to use, take advantage"
пользоваться,использоваться,"to use, be used"
менять,поменять,"to change, exchange"
мечтать,помечтать,to dream
мешать,помешать,to interfere; mix
помогать,помочь,to help
молчать,помолчать,to be silent
помогать,помочь,to help
"носить, нести",понести,to carry
понимать,понять,to understand
нравиться,понравиться,to please
понимать,понять,to realize
обещать,пообещать,to promise
попадать,попасть,"to hit, end up"
попадать,попасть,"to hit, end up"
"плавать, плыть",поплыть,"to swim, float, sail"
пробовать,попробовать,"to try, text"
просить,попросить,to ask to
пытаться,попытаться,to try
поражать,поразить,"to startle, strike"
поражать,поразить,"to startle, strike"
садить,посадить,to plant
посылать,послать,"to send, dispatch"
слать,послать,to send
следовать,последовать,to follow
служить,послужить,to serve
слушать,послушать,to listen
смеяться,посмеяться,to laugh
смотреть,посмотреть,"to look, watch"
спешить,поспешить,to hurry
спорить,поспорить,"to argue, dispute"
ставить,поставить,"to put, place (something)"
стараться,постараться,to try
поступать,поступить,"to enter, join"
поступать,поступить,"to enter, join"
считать,посчитать,"to count, consider"
считаться,посчитаться,"to consider, settle up"
посылать,послать,"to send, dispatch"
терпеть,потерпеть,to tolerate
терять,потерять,to lose
торопиться,поторопиться,to hurry
требовать,потребовать,to demand
требоваться,потребоваться,to be needed
тянуть,потянуть,"to pull, draw"
чувствовать,почувствовать,to feel
появляться,появиться,"to appear, show up"
появляться,появиться,"to appear, show up"
превращаться,превратиться,to turn into
превращаться,превратиться,to turn into
предлагать,предложить,"to offer, suggest"
предлагать,предложить,"to offer, suggest"
представлять,представить,"to present, introduce"
представлять,представить,"to present, introduce"
приближаться,приблизиться,"to approach, near"
приближаться,приблизиться,"to approach, near"
прибывать,прибыть,"to arrive, come"
прибывать,прибыть,"to arrive, come"
привозить,привезти,to bring by vehicle
приводить,привести,to bring
приводить,привести,to bring
привозить,привезти,to bring by vehicle
привыкать,привыкнуть,to get used to
привыкать,привыкнуть,to get used to
приглашать,пригласить,to invite
приглашать,пригласить,to invite
готовить,приготовить,"to prepare, cook"
придумывать,придумать,"to think, invent"
придумывать,придумать,"to think, invent"
приезжать,приехать,to arrive by vehicle
приезжать,приехать,to arrive by vehicle
признавать,признать,"to recognize, admit"
признаваться,признаться,"to confess, admit"
признавать,признать,"to recognize, admit"
признаваться,признаться,"to confess, admit"
приходить,прийти,"to come, arrive"
приходиться,прийтись,to fit; have to
приказывать,приказать,"to order, command"
приказывать,приказать,"to order, command"
прикрывать,прикрыть,"to cover, conceal"
прикрывать,прикрыть,"to cover, conceal"
принадлежать,принадлежить,to belong
принадлежать,принадлежить,to belong
приносить,принести,to bring
принимать,принять,"to take, accept"
приниматься,приняться,"to begin, set about"
приносить,принести,to bring
принимать,принять,"to take, accept"
приниматься,приняться,"to begin, set about"
присылать,прислать,to send
присылать,прислать,to send
приходить,прийти,"to come, arrive"
приходиться,прийтись,"to have to, must"
пробовать,попробовать,to try
проверять,проверить,"to check, verify"
проверять,проверить,"to check, verify"
проводить,провести,to accompany; conduct
проводить,провести,to accompany; conduct
проговаривать,проговорить,to talk through
проговаривать,проговорить,to talk through
продавать,продать,to sell
продавать,продать,to sell
продолжать,продолжить,to continue
продолжать,продолжить,to continue
проживать,прожить,"to live, spend"
проживать,прожить,"to live, spend"
звучать,прозвучать,"to sound, ring"
производить,произвести,to produce
производить,произвести,to produce
произносить,произнести,"to pronounce, utter"
произносить,произнести,"to pronounce, utter"
происходить,произойти,"to happen, occur"
происходить,произойти,"to happen, occur"
проходить,пройти,"to pass, go by, be over"
пропадать,пропасть,"to disappear, vanish"
пропадать,пропасть,"to disappear, vanich"
просить,попросить,to ask to
просыпаться,проснуться,to wake up
прощать,простить,to forgive
просыпаться,проснуться,to wake up
протянуть,протягивать,"to stretch, extend"
протянуть,протягивать,"to stretch, extend"
проходить,пройти,"to pass, go by, be over"
читать,прочесть,to read
читать,прочитать,to read
прощать,простить,to forgive
прыгать,прыгнуть,"to jump, leap, bounce"
прыгать,прыгнуть,"to jump, leap, bounce"
пугаться,испугаться,"to be frightened, startled"
пускать,пустить,"to let, allow, permit, let in"
пускать,пустить,"to let, allow, permit, let in"
пытаться,попытаться,to try
радоваться,обрадоваться,"to be glad, happy"
разбираться,разобраться,"to disassemble, examine"
разглядывать,разглядеть,to examine
разглядывать,разглядеть,to examine
раздаваться,раздаться,to resound
раздаваться,раздаться,to resound
разбираться,разобраться,"to disassemble, examine"
разрешать,разрешить,"to allow, permit"
разрешать,разрешить,"to allow, permit"
рассказывать,рассказать,"to tell, narrate"
рассказывать,рассказать,"to tell, narrate"
рассматривать,рассмотреть,"to examine, consider"
рассматривать,рассмотреть,"to examine, consider"
расти,вырасти,to grow
решать,решить,"to decide, solve"
решать,решить,"to decide, solve"
рождаться,родиться,to be born
рождаться,родиться,to be born
садить,посадить,to plant
садиться,сесть,to sit down or up
валить,свалить,"to fell, dump"
валять,свалять,"to roll, shape"
варить,сварить,"to boil, cook"
гореть,сгореть,to burn
делать,сделать,"to do, make"
делаться,сделаться,"to become, happen"
садиться,сесть,to sit down or up
говорить,сказать,"to say, speak"
косить,скосить,to mow
костить,скостить,"to abuse, reprimand"
скрывать,скрыть,"to hide, conceal"
скрывать,скрыть,"to hide, conceal"
слать,послать,to send
следить,наследить,"to watch, spy, follow"
следовать,последовать,"to follow, come next"
служить,послужить,to serve
случаться,случиться,to happen
случаться,случиться,to happen
слушать,послушать,to listen
слышать,услышать,to hear
смеяться,засмеяться,to laugh
смотреть,посмотреть,"to look, watch"
мочь,смочь,to be able
снимать,снять,to take off; photograph
снимать,снять,to take off; photograph
собирать,собрать,"to gather, collect"
собираться,собраться,to gather; to get ready
собирать,собрать,"to gather, collect"
собираться,собраться,to gather; to get ready
совать,сунуть,"to stick, poke, thrust"
совершать,совершить,"to accomplish, commit"
совершать,совершить,"to accomplish, commit"
врать,соврать,to lie
соглашаться,согласиться,"to agree, consent"
соглашаться,согласиться,"to agree, consent"
создавать,создать,to create
создавать,создать,to create
сходить,сойти,to go or come down
сообщать,сообщить,"to report, convey"
сообщать,сообщить,"to report, convey"
составлять,составить,"to put together, compose"
составлять,составить,"to put together, compose"
спадать,спасть,"to fall down, abate"
спасать,спасти,"to save, rescue"
спасать,спасти,"to save, rescue"
спадать,спасть,"to fall down, abate"
спать,поспать,to sleep
петь,спеть,to sing
спешить,поспешить,to hurry
спорить,поспорить,"to argue, dispute"
спрашивать,спросить,"to ask, inquire"
спрашивать,спросить,"to ask, inquire"
спускаться,спуститься,"to come down, descend"
спускаться,спуститься,"to come down, descend"
ставить,поставить,"to put, stand (something)"
становиться,стать,"to become, begin, come"
стараться,постараться,"to try, endeavour"
становиться,стать,"to become, begin, come"
стоять,постоять,to stand
страдать,пострадать,to suffer
стрелять,выстрелить,to shoot
стремиться,устремиться,"to rush, strive"
строить,построить,"to build, make, construct"
стучать,постучать,"to tap, knock, pound"
судить,посудить,"to judge, try"
уметь,суметь,to be able
совать,сунуть,"to stick, poke, thrust"
схватывать,схватить,"to seize, grasp, catch"
схватывать,схватить,"to seize, grasp, catch"
сходить,сойти,to go or come down
считать,посчитать,"to count, consider"
считаться,посчитаться,"to consider, settle up"
есть,съесть,to eat
играть,сыграть,to play
искать,сыскать,"to search, look for"
таскать,тащить,"to pull, drag"
таскать,тащить,"to pull, drag"
терпеть,потерпеть,to tolerate
терять,потерять,to lose
торопиться,поторопиться,to hurry
торчать,торчить,"to protrude, stick out"
торчать,торчить,"to protrude, stick out"
требовать,потребовать,to demand
требоваться,потребоваться,to be needed
тянуть,вытянут,"to stretch, extend"
убеждаться,убедиться,to be convinced
убеждаться,убедиться,to be convinced
убивать,убить,to kill
убивать,убить,to kill
видеть,увидеть,to see
удаваться,удаться,"succeed, manage"
ударять,ударить,"to strike, hit"
ударять,ударить,"to strike, hit"
удаваться,удаться,"succeed, manage"
удивляться,удивиться,to be surprised
удивляться,удивиться,to be surprised
уезжать,уехать,to leave by vehicle
уезжать,уехать,to leave by vehicle
жалить,ужалить,to sting
уходить,уйти,"to leave, go away"
колоть,уколоть,to prick
улыбаться,улыбнуться,to smile
улыбаться,улыбнуться,to smile
умирать,умереть,to die
уметь,суметь,to be able
умирать,умереть,to die
падать,упасть,to fall
слышать,услышать,to hear
усмехаться,усмехнуться,"to laugh slightly, grin"
усмехаться,усмехнуться,"to laugh slightly, grin"
успевать,успеть,"to be on time, succeed"
успевать,успеть,"to be on time, succeed"
успокоиться,успокаиваться,to calm down
успокоиться,успокаиваться,to calm down
уставать,устать,to get tired
устанавливать,установить,"to install, mount"
устанавливать,установить,"to install, mount"
уставать,устать,to get tired
устраивать,устроить,"to arrange, to make"
устраивать,устроить,"to arrange, to make"
утверждать,утвердить,"to affirm, confirm"
утверждать,утвердить,"to affirm, confirm"
уходить,уйти,"to leave, go away"
учить,научить,to teach
учиться,научиться,"to study, learn"
хватать,хватить,to grab; be sufficient
хватать,хватить,to grab; be sufficient
"ходить, идти",пойти,"to go, come"
хотеть,захотеть,"to want, like"
читать,прочесть,to read
читать,прочитать,to read
чувствовать,почувствовать,to feel
являться,явиться,to appear
являться,явиться,to appear
